"'","'",
"'Duration/Technology ","'Project Name and Link ",
"'April, 2021 C/C++ ","'Animated Cricket Game with OpenGL https://github.com/saifndub/ComputerGraphicsLab ",
"'September, 2020 C/C++ ","'A compiler that can identify C program https://github.com/saifndub/Compiler Lab ",
"'Nov - Dec, 2019 Web Development ","'University Management System using HTML/PHP/MySQL https://github.com/saifndub/UniversityManagementSystem ",
"'Oct - Nov, 2019 Arduino ","'Multifunctional Robot Car https://github.com/saifndub/Multifunctional Car ",
"'Aug - Oct, 2019 EEE ","'Automatic Water Pump Controller with Level Indicator https://m.facebook.com/automatic water pump controller ",
"'Sep - Oct, 2019 Arduino ","'Industrial Motor Controlling and Monitoring System https://github.com/saifndub/Industrial Motor Controller ",
"'Nov - Dec, 2019 EEE ","'24 Hour Digital Clock using 555 Timer & 4026 IC https://youtu.be/-YahQV7nfLo ",
"'Nov - Dec, 2018 Java ","'Basic and Scientific Calculator using Java(OOP) https://github.com/saifndub/CalculatorUsingJava ",
"'Dec 2017 - Jan 2018 ","'Series/Parallel Testing Board with Safety Power System ",
